account,sentiment,total_pnl,trade_count,win_rate,total_capital,roi,sharpe_ratio,max_drawdown,roi_rank
0x083384f897ee0f19899168e3b1bec365f52a9012,Fear,1927735.720035,3356,0.40554231227651966,54854631.95,0.035142624269034035,0.12738566891061362,-72400.51181299891,7.0
0x083384f897ee0f19899168e3b1bec365f52a9012,Greed,-327505.900056,462,0.025974025974025976,6842632.02,-0.0478625621104202,-0.12361854692807842,-326644.235416,28.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,17098.727055,3533,0.43504104160769885,5982611.5,0.002858070769763338,0.02736551408599453,-17970.632607000003,26.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,20607.446093000002,320,0.53125,797679.97,0.025834227845786328,0.30091821298282484,0.0,12.0
0x271b280974205ca63b716753467d5a371de622ab,Fear,29970.928216,1136,0.43045774647887325,12310719.5,0.002434539119829674,0.23800755849604185,-228.20594400000664,29.0
0x271b280974205ca63b716753467d5a371de622ab,Greed,1793.1602149999999,5,0.8,159708.30000000002,0.011227720882383694,0.5218286768870921,0.0,21.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Fear,10435.095669,6794,0.4327347659699735,3622817.7,0.0028803811102612203,0.012761925273795594,-19770.059605999995,25.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,121880.386016,6472,0.4437577255871446,3129795.22,0.03894196822755707,0.17930861991305308,-574.8359710000077,8.0
0x2c229d22b100a7beb69122eed721cee9b24011dd,Fear,116412.254606,2471,0.5337919870497774,7919556.5600000005,0.014699340010269462,0.22593564903062857,-3230.4365160000307,12.0
0x2c229d22b100a7beb69122eed721cee9b24011dd,Greed,52215.729448,763,0.4744429882044561,2244613.0,0.02326268690772084,0.18501713103040124,-744.1133059999993,14.0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Fear,-59349.677108,349,0.2636103151862464,575346.58,-0.10315465350988966,-0.26225143411931234,-72414.68522699997,32.0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Greed,31429.354871,188,0.43617021276595747,531897.45,0.05908912492624283,0.24180264274124758,-5716.86972,5.0
0x39cef799f8b69da1995852eea189df24eb5cae3c,Fear,-20526.462526,3445,0.3193033381712627,16537484.2,-0.0012412082924922764,-0.008119015560435686,-136109.8729699998,31.0
0x39cef799f8b69da1995852eea189df24eb5cae3c,Greed,34983.381862,144,0.5277777777777778,655891.22,0.053337170547884456,0.40584755613640655,-808.1587080000027,7.0
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Fear,45883.628955,141,0.5602836879432624,611688.99,0.07501136967497159,0.16669582555343243,0.0,4.0
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Greed,7612.618288,191,0.41361256544502617,532207.47,0.01430385463774118,0.38396975465314526,0.0,20.0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Fear,183403.024142,258,0.2441860465116279,1177449.09,0.15576301829066766,0.2699791955333273,0.0,3.0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Greed,16102.56859,125,0.216,810078.52,0.01987778739028903,0.15420045645333263,0.0,16.0
0x430f09841d65beb3f27765503d0f850b8bce7713,Fear,110527.905862,671,0.4828614008941878,1883941.47,0.058668439344880495,0.28934891913999644,0.0,5.0
0x430f09841d65beb3f27765503d0f850b8bce7713,Greed,160450.518105,131,0.2900763358778626,389932.47,0.41148283472007346,0.2979659091735978,0.0,2.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Fear,32683.214094,4629,0.36552171095268954,2508697.11,0.013027963385344675,0.07834292245817492,-18492.781581000003,16.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Greed,69282.42904,3711,0.3381837779574239,1834112.91,0.037774353292131836,0.21352512217895725,-668.5657879999962,9.0
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Fear,613327.827224,3806,0.4952706253284288,34247716.57,0.0179085757723555,0.18089163600965796,-2153.7289969999983,10.0
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Greed,61076.167808,328,0.4115853658536585,2769684.87,0.022051666768862405,0.269540749494827,-7577.27,15.0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Fear,223968.37089299998,3737,0.39175809472839174,76490050.69,0.002928071937103327,0.1246356185754366,-42052.57310399992,24.0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Greed,103311.026975,2433,0.3218249075215783,37996172.01,0.0027189851374451656,0.08202106620741967,-35824.39999,25.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,Fear,403501.648209,5777,0.4156136402977324,163514779.13,0.0024676769302192677,0.09454054145055842,-85850.98942099995,28.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,Greed,0.0,223,0.0,727332.09,0.0,,0.0,27.0
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Fear,6979.340871,572,0.2692307692307692,509692.65,0.013693234287369065,0.29091063555054225,-89.17810000000009,15.0
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Greed,101539.274031,250,1.0,131367.84,0.7729385976887494,0.4724443871863438,0.0,1.0
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Fear,98269.195073,932,0.43991416309012876,7547409.37,0.013020255064420866,0.03736803835062911,-41394.887400999694,17.0
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Greed,327545.999992,202,0.5148514851485149,3294849.97,0.09941150673758901,0.48084672414878565,0.0,4.0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Fear,341945.434741,939,0.3961661341853035,1993872.85,0.1714981147072643,0.20799260274869233,-7620.77911000001,2.0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Greed,51737.579418,419,0.028639618138424822,965878.98,0.05356528145793172,0.11108265557070797,0.0,6.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Fear,136208.043913,4885,0.7985670419651996,11383531.66,0.011965359080224142,0.15011743427203167,-20331.73650399997,19.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,225368.416067,4057,0.8232684249445403,13273511.1,0.01697880947769728,0.3217384051824184,-1973.817226000072,17.0
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Fear,14781.443047,1554,0.4510939510939511,5661783.44,0.0026107397436946123,0.13090513528044043,-869.1459780000005,27.0
0x8170715b3b381dffb7062c0298972d4727a0a63b,Fear,196303.792847,3056,0.28763089005235604,6875178.28,0.028552538545516815,0.14751525489631256,-18846.171917999978,8.0
0x8170715b3b381dffb7062c0298972d4727a0a63b,Greed,0.0,15,0.0,34998.8,0.0,,0.0,27.0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Fear,64510.169958,1802,0.3401775804661487,11629308.63,0.00554720594409059,0.10683894766943099,-4968.487948000002,20.0
